year,age,bc_deaths
1959,0,0
1959,1,1
1959,2,0
1959,3,0
1959,4,0
1959,5,0
1959,6,0
1959,7,1
1959,8,0
1959,9,0
1959,10,0
1959,11,0
1959,12,1
1959,13,0
1959,14,0
1959,15,0
1959,16,0
1959,17,0
1959,18,0
1959,19,0
1959,20,1
1959,21,1
1959,22,2
1959,23,3
1959,24,3
1959,25,7
1959,26,12
1959,27,14
1959,28,24
1959,29,34
1959,30,44
1959,31,65
1959,32,84
1959,33,101
1959,34,117
1959,35,141
1959,36,141
1959,37,166
1959,38,183
1959,39,237
1959,40,243
1959,41,300
1959,42,286
1959,43,326
1959,44,363
1959,45,415
1959,46,431
1959,47,437
1959,48,537
1959,49,480
1959,50,542
1959,51,517
1959,52,561
1959,53,504
1959,54,550
1959,55,529
1959,56,585
1959,57,479
1959,58,642
1959,59,596
1959,60,514
1959,61,576
1959,62,582
1959,63,601
1959,64,534
1959,65,581
1959,66,553
1959,67,544
1959,68,504
1959,69,557
1959,70,532
1959,71,475
1959,72,480
1959,73,480
1959,74,439
1959,75,464
1959,76,386
1959,77,350
1959,78,341
1959,79,338
1959,80,301
1959,81,281
1959,82,282
1959,83,225
1959,84,226
1959,85,208
1959,86,166
1959,87,136
1959,88,119
1959,89,106
1959,90,77
1959,91,65
1959,92,50
1959,93,31
1959,94,21
1959,95,19
1959,96,19
1959,97,12
1959,98,7
1959,99,3
1959,100,0
1959,101,0
1959,102,0
1959,103,0
1959,104,0
1959,105,0
1959,106,0
1959,107,0
1959,108,0
1959,109,0
1959,110,0
1960,0,0
1960,1,0
1960,2,0
1960,3,0
1960,4,0
1960,5,0
1960,6,0
1960,7,1
1960,8,0
1960,9,0
1960,10,0
1960,11,0
1960,12,0
1960,13,0
1960,14,0
1960,15,0
1960,16,0
1960,17,0
1960,18,1
1960,19,0
1960,20,1
1960,21,1
1960,22,1
1960,23,6
1960,24,5
1960,25,11
1960,26,15
1960,27,16
1960,28,24
1960,29,29
1960,30,44
1960,31,57
1960,32,57
1960,33,95
1960,34,99
1960,35,143
1960,36,137
1960,37,203
1960,38,192
1960,39,230
1960,40,277
1960,41,268
1960,42,333
1960,43,335
1960,44,371
1960,45,463
1960,46,410
1960,47,488
1960,48,509
1960,49,507
1960,50,570
1960,51,599
1960,52,612
1960,53,588
1960,54,592
1960,55,573
1960,56,508
1960,57,590
1960,58,549
1960,59,595
1960,60,642
1960,61,509
1960,62,569
1960,63,586
1960,64,571
1960,65,589
1960,66,533
1960,67,584
1960,68,562
1960,69,531
1960,70,522
1960,71,563
1960,72,492
1960,73,486
1960,74,429
1960,75,489
1960,76,404
1960,77,397
1960,78,369
1960,79,349
1960,80,336
1960,81,299
1960,82,269
1960,83,239
1960,84,238
1960,85,240
1960,86,165
1960,87,164
1960,88,123
1960,89,87
1960,90,77
1960,91,56
1960,92,49
1960,93,33
1960,94,26
1960,95,26
1960,96,16
1960,97,6
1960,98,9
1960,99,3
1960,100,3
1960,101,2
1960,102,0
1960,103,3
1960,104,0
1960,105,0
1960,106,0
1960,107,0
1960,108,0
1960,109,0
1960,110,0
1961,0,0
1961,1,0
1961,2,0
1961,3,0
1961,4,0
1961,5,0
1961,6,0
1961,7,1
1961,8,0
1961,9,0
1961,10,0
1961,11,0
1961,12,0
1961,13,0
1961,14,0
1961,15,0
1961,16,0
1961,17,0
1961,18,0
1961,19,2
1961,20,0
1961,21,0
1961,22,2
1961,23,2
1961,24,6
1961,25,8
1961,26,17
1961,27,16
1961,28,18
1961,29,25
1961,30,38
1961,31,63
1961,32,70
1961,33,81
1961,34,119
1961,35,125
1961,36,143
1961,37,179
1961,38,201
1961,39,247
1961,40,265
1961,41,308
1961,42,302
1961,43,361
1961,44,379
1961,45,401
1961,46,464
1961,47,471
1961,48,511
1961,49,507
1961,50,618
1961,51,570
1961,52,614
1961,53,641
1961,54,575
1961,55,559
1961,56,591
1961,57,571
1961,58,585
1961,59,541
1961,60,619
1961,61,551
1961,62,538
1961,63,604
1961,64,563
1961,65,624
1961,66,520
1961,67,576
1961,68,585
1961,69,573
1961,70,516
1961,71,540
1961,72,552
1961,73,548
1961,74,452
1961,75,458
1961,76,457
1961,77,444
1961,78,432
1961,79,357
1961,80,385
1961,81,301
1961,82,260
1961,83,258
1961,84,239
1961,85,220
1961,86,180
1961,87,149
1961,88,142
1961,89,103
1961,90,96
1961,91,63
1961,92,48
1961,93,45
1961,94,35
1961,95,27
1961,96,13
1961,97,13
1961,98,3
1961,99,10
1961,100,3
1961,101,2
1961,102,0
1961,103,1
1961,104,0
1961,105,0
1961,106,1
1961,107,0
1961,108,0
1961,109,0
1961,110,0
1962,0,0
1962,1,0
1962,2,0
1962,3,0
1962,4,0
1962,5,0
1962,6,0
1962,7,0
1962,8,0
1962,9,0
1962,10,0
1962,11,0
1962,12,0
1962,13,0
1962,14,2
1962,15,0
1962,16,0
1962,17,2
1962,18,1
1962,19,1
1962,20,0
1962,21,3
1962,22,2
1962,23,3
1962,24,3
1962,25,11
1962,26,10
1962,27,18
1962,28,15
1962,29,27
1962,30,44
1962,31,58
1962,32,83
1962,33,81
1962,34,113
1962,35,106
1962,36,153
1962,37,163
1962,38,193
1962,39,256
1962,40,269
1962,41,268
1962,42,328
1962,43,334
1962,44,360
1962,45,388
1962,46,482
1962,47,500
1962,48,550
1962,49,559
1962,50,574
1962,51,575
1962,52,666
1962,53,627
1962,54,599
1962,55,576
1962,56,649
1962,57,570
1962,58,629
1962,59,598
1962,60,557
1962,61,587
1962,62,635
1962,63,581
1962,64,552
1962,65,641
1962,66,599
1962,67,567
1962,68,578
1962,69,590
1962,70,549
1962,71,496
1962,72,567
1962,73,530
1962,74,513
1962,75,453
1962,76,466
1962,77,408
1962,78,405
1962,79,356
1962,80,328
1962,81,340
1962,82,290
1962,83,298
1962,84,246
1962,85,235
1962,86,195
1962,87,162
1962,88,131
1962,89,92
1962,90,91
1962,91,71
1962,92,47
1962,93,34
1962,94,33
1962,95,18
1962,96,7
1962,97,8
1962,98,7
1962,99,5
1962,100,4
1962,101,3
1962,102,0
1962,103,0
1962,104,0
1962,105,0
1962,106,1
1962,107,0
1962,108,0
1962,109,0
1962,110,0
1963,0,0
1963,1,0
1963,2,0
1963,3,0
1963,4,0
1963,5,0
1963,6,1
1963,7,0
1963,8,0
1963,9,0
1963,10,0
1963,11,1
1963,12,0
1963,13,0
1963,14,0
1963,15,1
1963,16,0
1963,17,0
1963,18,1
1963,19,1
1963,20,1
1963,21,3
1963,22,3
1963,23,4
1963,24,6
1963,25,14
1963,26,8
1963,27,19
1963,28,27
1963,29,27
1963,30,34
1963,31,46
1963,32,68
1963,33,72
1963,34,88
1963,35,132
1963,36,148
1963,37,171
1963,38,188
1963,39,241
1963,40,252
1963,41,277
1963,42,334
1963,43,375
1963,44,387
1963,45,445
1963,46,460
1963,47,466
1963,48,538
1963,49,574
1963,50,617
1963,51,608
1963,52,629
1963,53,609
1963,54,646
1963,55,635
1963,56,573
1963,57,676
1963,58,677
1963,59,618
1963,60,608
1963,61,559
1963,62,667
1963,63,623
1963,64,580
1963,65,608
1963,66,570
1963,67,588
1963,68,604
1963,69,610
1963,70,590
1963,71,542
1963,72,542
1963,73,541
1963,74,521
1963,75,464
1963,76,431
1963,77,391
1963,78,381
1963,79,401
1963,80,349
1963,81,316
1963,82,279
1963,83,296
1963,84,224
1963,85,203
1963,86,178
1963,87,175
1963,88,141
1963,89,107
1963,90,90
1963,91,64
1963,92,47
1963,93,48
1963,94,24
1963,95,21
1963,96,14
1963,97,17
1963,98,8
1963,99,4
1963,100,2
1963,101,3
1963,102,1
1963,103,2
1963,104,0
1963,105,0
1963,106,0
1963,107,0
1963,108,0
1963,109,0
1963,110,0
1964,0,0
1964,1,0
1964,2,0
1964,3,0
1964,4,0
1964,5,0
1964,6,0
1964,7,0
1964,8,0
1964,9,0
1964,10,0
1964,11,0
1964,12,0
1964,13,0
1964,14,0
1964,15,0
1964,16,0
1964,17,1
1964,18,0
1964,19,1
1964,20,0
1964,21,4
1964,22,3
1964,23,8
1964,24,12
1964,25,10
1964,26,12
1964,27,24
1964,28,32
1964,29,30
1964,30,48
1964,31,58
1964,32,76
1964,33,88
1964,34,106
1964,35,121
1964,36,154
1964,37,165
1964,38,215
1964,39,241
1964,40,258
1964,41,304
1964,42,340
1964,43,357
1964,44,376
1964,45,436
1964,46,456
1964,47,536
1964,48,559
1964,49,554
1964,50,654
1964,51,649
1964,52,691
1964,53,659
1964,54,687
1964,55,685
1964,56,652
1964,57,640
1964,58,621
1964,59,646
1964,60,651
1964,61,633
1964,62,567
1964,63,624
1964,64,589
1964,65,614
1964,66,578
1964,67,610
1964,68,579
1964,69,613
1964,70,601
1964,71,522
1964,72,585
1964,73,557
1964,74,510
1964,75,513
1964,76,471
1964,77,392
1964,78,410
1964,79,389
1964,80,366
1964,81,293
1964,82,325
1964,83,271
1964,84,269
1964,85,229
1964,86,218
1964,87,172
1964,88,136
1964,89,117
1964,90,114
1964,91,75
1964,92,44
1964,93,33
1964,94,27
1964,95,19
1964,96,16
1964,97,14
1964,98,7
1964,99,4
1964,100,1
1964,101,1
1964,102,1
1964,103,1
1964,104,0
1964,105,1
1964,106,0
1964,107,0
1964,108,0
1964,109,0
1964,110,0
1965,0,0
1965,1,0
1965,2,0
1965,3,0
1965,4,0
1965,5,1
1965,6,0
1965,7,0
1965,8,0
1965,9,0
1965,10,0
1965,11,0
1965,12,0
1965,13,0
1965,14,0
1965,15,0
1965,16,0
1965,17,0
1965,18,1
1965,19,0
1965,20,0
1965,21,2
1965,22,4
1965,23,4
1965,24,5
1965,25,8
1965,26,7
1965,27,17
1965,28,27
1965,29,30
1965,30,48
1965,31,51
1965,32,60
1965,33,86
1965,34,101
1965,35,114
1965,36,137
1965,37,177
1965,38,176
1965,39,230
1965,40,267
1965,41,315
1965,42,341
1965,43,414
1965,44,408
1965,45,443
1965,46,477
1965,47,515
1965,48,520
1965,49,554
1965,50,603
1965,51,607
1965,52,691
1965,53,725
1965,54,722
1965,55,676
1965,56,743
1965,57,670
1965,58,723
1965,59,682
1965,60,650
1965,61,625
1965,62,679
1965,63,612
1965,64,649
1965,65,619
1965,66,578
1965,67,577
1965,68,641
1965,69,619
1965,70,602
1965,71,591
1965,72,588
1965,73,536
1965,74,570
1965,75,545
1965,76,492
1965,77,499
1965,78,431
1965,79,411
1965,80,408
1965,81,371
1965,82,305
1965,83,295
1965,84,286
1965,85,250
1965,86,195
1965,87,179
1965,88,149
1965,89,126
1965,90,71
1965,91,62
1965,92,56
1965,93,35
1965,94,32
1965,95,23
1965,96,22
1965,97,13
1965,98,10
1965,99,4
1965,100,4
1965,101,3
1965,102,2
1965,103,2
1965,104,1
1965,105,0
1965,106,1
1965,107,0
1965,108,1
1965,109,0
1965,110,0
1966,0,0
1966,1,0
1966,2,0
1966,3,0
1966,4,0
1966,5,0
1966,6,0
1966,7,0
1966,8,0
1966,9,0
1966,10,0
1966,11,0
1966,12,0
1966,13,0
1966,14,0
1966,15,0
1966,16,0
1966,17,0
1966,18,1
1966,19,2
1966,20,1
1966,21,2
1966,22,3
1966,23,8
1966,24,8
1966,25,12
1966,26,12
1966,27,12
1966,28,23
1966,29,35
1966,30,32
1966,31,45
1966,32,84
1966,33,79
1966,34,90
1966,35,105
1966,36,136
1966,37,149
1966,38,185
1966,39,222
1966,40,250
1966,41,309
1966,42,351
1966,43,398
1966,44,410
1966,45,458
1966,46,476
1966,47,485
1966,48,569
1966,49,607
1966,50,642
1966,51,653
1966,52,669
1966,53,706
1966,54,717
1966,55,711
1966,56,670
1966,57,672
1966,58,795
1966,59,722
1966,60,759
1966,61,672
1966,62,700
1966,63,713
1966,64,613
1966,65,620
1966,66,660
1966,67,644
1966,68,595
1966,69,583
1966,70,614
1966,71,595
1966,72,549
1966,73,602
1966,74,540
1966,75,530
1966,76,538
1966,77,475
1966,78,445
1966,79,414
1966,80,410
1966,81,348
1966,82,314
1966,83,326
1966,84,250
1966,85,252
1966,86,211
1966,87,167
1966,88,152
1966,89,115
1966,90,103
1966,91,65
1966,92,45
1966,93,45
1966,94,32
1966,95,22
1966,96,29
1966,97,10
1966,98,11
1966,99,5
1966,100,2
1966,101,2
1966,102,3
1966,103,0
1966,104,0
1966,105,1
1966,106,0
1966,107,1
1966,108,0
1966,109,0
1966,110,0
1967,0,0
1967,1,0
1967,2,1
1967,3,0
1967,4,0
1967,5,0
1967,6,0
1967,7,0
1967,8,0
1967,9,0
1967,10,0
1967,11,0
1967,12,0
1967,13,0
1967,14,0
1967,15,0
1967,16,2
1967,17,0
1967,18,1
1967,19,1
1967,20,0
1967,21,3
1967,22,2
1967,23,2
1967,24,11
1967,25,10
1967,26,17
1967,27,14
1967,28,27
1967,29,37
1967,30,37
1967,31,43
1967,32,52
1967,33,83
1967,34,117
1967,35,88
1967,36,137
1967,37,168
1967,38,197
1967,39,233
1967,40,250
1967,41,296
1967,42,335
1967,43,344
1967,44,439
1967,45,469
1967,46,503
1967,47,544
1967,48,588
1967,49,583
1967,50,650
1967,51,618
1967,52,649
1967,53,734
1967,54,792
1967,55,674
1967,56,747
1967,57,732
1967,58,762
1967,59,726
1967,60,720
1967,61,754
1967,62,762
1967,63,686
1967,64,648
1967,65,643
1967,66,646
1967,67,661
1967,68,614
1967,69,611
